line,tmin,tier,text,tmax
510,152.8648,TokensAlign,t,152.8948
511,152.8948,TokensAlign,be,153.0348
512,153.0348,TokensAlign,seen,153.4987
514,154.2968,TokensAlign,i,154.4018
515,154.4018,TokensAlign,replied,154.9366
517,155.5252,TokensAlign,that,155.6902
518,155.6902,TokensAlign,s,155.7502
519,155.7502,TokensAlign,TRUE,156.0801
521,156.7834,TokensAlign,and,156.9484
522,156.9484,TokensAlign,i,157.0484
523,157.0484,TokensAlign,looked,157.6884
524,157.6884,TokensAlign,without,158.0884
525,158.0884,TokensAlign,saying,158.4584
526,158.4584,TokensAlign,anything,159.1523
528,159.4016,TokensAlign,at,159.5166
529,159.5166,TokensAlign,the,159.5966
530,159.5966,TokensAlign,folds,160.1166
531,160.1166,TokensAlign,of,160.1966
532,160.1966,TokensAlign,sand,160.6766
533,160.6766,TokensAlign,in,160.7566
534,160.7566,TokensAlign,the,160.8366
535,160.8366,TokensAlign,moonlight,161.4711
537,162.394,TokensAlign,the,162.459
538,162.459,TokensAlign,desert,162.879
539,162.879,TokensAlign,is,163.019
540,163.019,TokensAlign,beautiful,163.5434
542,164.0721,TokensAlign,the,164.1371
543,164.1371,TokensAlign,little,164.3771
544,164.3771,TokensAlign,prince,164.8071
545,164.8071,TokensAlign,added,165.1867
547,166.0297,TokensAlign,and,166.1947
548,166.1947,TokensAlign,it,166.2547
549,166.2547,TokensAlign,was,166.4647
550,166.4647,TokensAlign,TRUE,166.8196
552,167.1737,TokensAlign,i,167.2287
553,167.2287,TokensAlign,have,167.3887
554,167.3887,TokensAlign,always,167.7887
555,167.7887,TokensAlign,loved,168.1087
556,168.1087,TokensAlign,the,168.1987
557,168.1987,TokensAlign,desert,168.6831
559,169.5809,TokensAlign,you,169.6859
560,169.6859,TokensAlign,sit,170.0159
561,170.0159,TokensAlign,down,170.2959
562,170.2959,TokensAlign,on,170.3959
563,170.3959,TokensAlign,a,170.4459
564,170.4459,TokensAlign,sand,170.8559
565,170.8559,TokensAlign,dune,171.1507
567,171.5197,TokensAlign,you,171.5947
568,171.5947,TokensAlign,see,171.8347
569,171.8347,TokensAlign,nothing,172.3296
571,172.8085,TokensAlign,you,172.9035
572,172.9035,TokensAlign,hear,173.2735
573,173.2735,TokensAlign,nothing,173.7332
575,174.232,TokensAlign,and,174.717
576,174.717,TokensAlign,yet,174.967
577,174.967,TokensAlign,something,175.677
578,175.677,TokensAlign,radiates,176.517
579,176.517,TokensAlign,forth,176.957
580,176.957,TokensAlign,in,177.047
581,177.047,TokensAlign,the,177.137
582,177.137,TokensAlign,silence,177.8608
584,179.088,TokensAlign,what,179.343
585,179.343,TokensAlign,makes,179.733
586,179.733,TokensAlign,the,179.823
587,179.823,TokensAlign,desert,180.323
588,180.323,TokensAlign,beautiful,180.987
590,181.3262,TokensAlign,said,181.5212
591,181.5212,TokensAlign,the,181.6512
592,181.6512,TokensAlign,little,181.9012
593,181.9012,TokensAlign,prince,182.4159
595,182.8997,TokensAlign,is,183.0947
596,183.0947,TokensAlign,that,183.3047
597,183.3047,TokensAlign,somewhere,183.9747
598,183.9747,TokensAlign,it,184.1247
599,184.1247,TokensAlign,hides,184.4647
600,184.4647,TokensAlign,a,184.5247
601,184.5247,TokensAlign,well,184.9094
603,186.4858,TokensAlign,i,186.5908
604,186.5908,TokensAlign,was,186.7808
605,186.7808,TokensAlign,surprised,187.4208
606,187.4208,TokensAlign,to,187.5108
607,187.5108,TokensAlign,suddenly,188.0708
608,188.0708,TokensAlign,understand,188.8208
609,188.8208,TokensAlign,this,189.0708
610,189.0708,TokensAlign,mysterious,189.8508
611,189.8508,TokensAlign,radiation,190.4808
612,190.4808,TokensAlign,of,190.5708
613,190.5708,TokensAlign,the,190.6508
614,190.6508,TokensAlign,sands,191.2598
616,192.4071,TokensAlign,when,192.5421
617,192.5421,TokensAlign,i,192.6721
618,192.6721,TokensAlign,was,192.8721
619,192.8721,TokensAlign,a,192.9221
620,192.9221,TokensAlign,little,193.2121
621,193.2121,TokensAlign,boy,193.5921
622,193.5921,TokensAlign,i,193.9121
623,193.9121,TokensAlign,lived,194.2021
624,194.2021,TokensAlign,in,194.4021
625,194.4021,TokensAlign,an,194.4821
626,194.4821,TokensAlign,old,194.7321
627,194.7321,TokensAlign,house,195.3664
629,195.6407,TokensAlign,and,195.9157
630,195.9157,TokensAlign,legend,196.4757
631,196.4757,TokensAlign,told,196.8857
632,196.8857,TokensAlign,that,197.0357
633,197.0357,TokensAlign,a,197.0757
634,197.0757,TokensAlign,treasure,197.5657
635,197.5657,TokensAlign,was,197.7857
636,197.7857,TokensAlign,buried,198.1757
637,198.1757,TokensAlign,there,198.3999
639,198.8239,TokensAlign,of,199.1489
640,199.1489,TokensAlign,course,199.7389
641,199.7389,TokensAlign,no,199.9489
642,199.9489,TokensAlign,one,200.0889
643,200.0889,TokensAlign,had,200.2689
644,200.2689,TokensAlign,ever,200.4889
645,200.4889,TokensAlign,been,200.6389
646,200.6389,TokensAlign,able,200.8989
647,200.8989,TokensAlign,to,200.9889
648,200.9889,TokensAlign,find,201.3589
649,201.3589,TokensAlign,it,201.5079
651,202.0166,TokensAlign,or,202.1216
652,202.1216,TokensAlign,perhaps,202.7116
653,202.7116,TokensAlign,no,202.9916
654,202.9916,TokensAlign,one,203.1416
655,203.1416,TokensAlign,had,203.3016
656,203.3016,TokensAlign,even,203.5216
657,203.5216,TokensAlign,looked,203.8416
658,203.8416,TokensAlign,for,203.9716
659,203.9716,TokensAlign,it,204.1807
661,204.6895,TokensAlign,but,205.1345
662,205.1345,TokensAlign,it,205.2745
663,205.2745,TokensAlign,cast,205.7345
664,205.7345,TokensAlign,an,205.8045
665,205.8045,TokensAlign,enchantment,206.6745
666,206.6745,TokensAlign,over,206.7745
667,206.7745,TokensAlign,that,207.1145
668,207.1145,TokensAlign,house,207.6532
670,208.1072,TokensAlign,my,208.4122
671,208.4122,TokensAlign,home,208.8622
672,208.8622,TokensAlign,was,209.0622
673,209.0622,TokensAlign,hiding,209.4322
674,209.4322,TokensAlign,a,209.5122
675,209.5122,TokensAlign,secret,210.1522
676,210.1522,TokensAlign,in,210.2722
677,210.2722,TokensAlign,the,210.3322
678,210.3322,TokensAlign,depths,210.8622
679,210.8622,TokensAlign,of,210.9422
680,210.9422,TokensAlign,its,211.1322
681,211.1322,TokensAlign,heart,211.5209
683,212.369,TokensAlign,yes,212.8639
685,213.1333,TokensAlign,i,213.2383
686,213.2383,TokensAlign,said,213.4783
687,213.4783,TokensAlign,to,213.5983
688,213.5983,TokensAlign,the,213.6983
689,213.6983,TokensAlign,little,213.9283
690,213.9283,TokensAlign,prince,214.3977
692,215.1809,TokensAlign,whether,215.4259
693,215.4259,TokensAlign,the,215.5659
694,215.5659,TokensAlign,house,216.1808
696,216.3802,TokensAlign,the,216.4452
697,216.4452,TokensAlign,stars,217.0352
698,217.0352,TokensAlign,or,217.1652
699,217.1652,TokensAlign,the,217.2452
700,217.2452,TokensAlign,desert,217.7499
702,218.2587,TokensAlign,what,218.4637
703,218.4637,TokensAlign,gives,218.7237
704,218.7237,TokensAlign,them,218.8837
705,218.8837,TokensAlign,their,219.1137
706,219.1137,TokensAlign,beauty,219.5837
707,219.5837,TokensAlign,is,219.6837
708,219.6837,TokensAlign,something,220.0437
709,220.0437,TokensAlign,invisible,220.6729
711,221.7653,TokensAlign,i,221.8803
712,221.8803,TokensAlign,m,221.9403
713,221.9403,TokensAlign,glad,222.3203
714,222.3203,TokensAlign,he,222.6403
715,222.6403,TokensAlign,said,223.0349
717,223.3391,TokensAlign,that,223.5041
718,223.5041,TokensAlign,you,223.6141
719,223.6141,TokensAlign,agree,223.9441
720,223.9441,TokensAlign,with,224.0741
721,224.0741,TokensAlign,my,224.2241
722,224.2241,TokensAlign,fox,224.7836
724,226.3599,TokensAlign,as,226.5449
725,226.5449,TokensAlign,the,226.6249
726,226.6249,TokensAlign,little,226.9049
727,226.9049,TokensAlign,prince,227.3449
728,227.3449,TokensAlign,fell,227.4949
729,227.4949,TokensAlign,asleep,228.3149
730,228.3149,TokensAlign,i,228.4049
731,228.4049,TokensAlign,took,228.6549
732,228.6549,TokensAlign,him,228.7749
733,228.7749,TokensAlign,in,228.8949
734,228.8949,TokensAlign,my,229.0749
735,229.0749,TokensAlign,arms,229.5749
736,229.5749,TokensAlign,and,229.7149
737,229.7149,TokensAlign,set,229.9549
738,229.9549,TokensAlign,out,230.2149
739,230.2149,TokensAlign,walking,230.5449
740,230.5449,TokensAlign,again,230.9536
742,231.657,TokensAlign,i,231.782
743,231.782,TokensAlign,felt,232.182
744,232.182,TokensAlign,deeply,232.642
745,232.642,TokensAlign,moved,233.1411
747,233.615,TokensAlign,it,234.01
748,234.01,TokensAlign,seemed,234.37
749,234.37,TokensAlign,to,234.48
