line	tmin	tier	text	tmax
544	167.906300	TokensAlign	was	168.076300
545	168.076300	TokensAlign	a	168.126300
546	168.126300	TokensAlign	little	168.366300
547	168.366300	TokensAlign	prince	168.886300
548	168.886300	TokensAlign	who	168.966300
549	168.966300	TokensAlign	lived	169.276300
550	169.276300	TokensAlign	on	169.386300
551	169.386300	TokensAlign	a	169.436300
552	169.436300	TokensAlign	planet	169.946300
553	169.946300	TokensAlign	not	170.196300
554	170.196300	TokensAlign	much	170.496300
555	170.496300	TokensAlign	bigger	170.786300
556	170.786300	TokensAlign	than	170.906300
557	170.906300	TokensAlign	himself	171.469000
558	171.469000	TokensAlign	#	171.783300
559	171.783300	TokensAlign	and	171.938300
560	171.938300	TokensAlign	who	172.028300
561	172.028300	TokensAlign	needed	172.338300
562	172.338300	TokensAlign	a	172.378300
563	172.378300	TokensAlign	friend	172.912700
564	172.912700	TokensAlign	#	173.566200
565	173.566200	TokensAlign	for	173.711200
566	173.711200	TokensAlign	those	174.171200
567	174.171200	TokensAlign	who	174.271200
568	174.271200	TokensAlign	understand	174.971200
569	174.971200	TokensAlign	life	175.430700
570	175.430700	TokensAlign	#	175.769800
571	175.769800	TokensAlign	it	175.874800
572	175.874800	TokensAlign	would	175.984800
573	175.984800	TokensAlign	have	176.074800
574	176.074800	TokensAlign	seemed	176.494800
575	176.494800	TokensAlign	much	176.814800
576	176.814800	TokensAlign	more	177.044800
577	177.044800	TokensAlign	natural	177.534500
578	177.534500	TokensAlign	#	178.088100
579	178.088100	TokensAlign	for	178.183100
580	178.183100	TokensAlign	i	178.323100
581	178.323100	TokensAlign	don	178.573100
582	178.573100	TokensAlign	t	178.603100
583	178.603100	TokensAlign	want	178.773100
584	178.773100	TokensAlign	my	178.943100
585	178.943100	TokensAlign	book	179.283100
586	179.283100	TokensAlign	to	179.373100
587	179.373100	TokensAlign	be	179.513100
588	179.513100	TokensAlign	read	179.833100
589	179.833100	TokensAlign	lightly	180.287300
590	180.287300	TokensAlign	#	180.855900
591	180.855900	TokensAlign	i	180.970900
592	180.970900	TokensAlign	feel	181.210900
593	181.210900	TokensAlign	so	181.410900
594	181.410900	TokensAlign	much	181.730900
595	181.730900	TokensAlign	sadness	182.230900
596	182.230900	TokensAlign	in	182.310900
597	182.310900	TokensAlign	recounting	182.920900
598	182.920900	TokensAlign	these	183.140900
599	183.140900	TokensAlign	memories	183.710500
600	183.710500	TokensAlign	#	184.109500
601	184.109500	TokensAlign	it	184.224500
602	184.224500	TokensAlign	s	184.264500
603	184.264500	TokensAlign	already	184.694500
604	184.694500	TokensAlign	been	184.934500
605	184.934500	TokensAlign	six	185.344500
606	185.344500	TokensAlign	years	185.694500
607	185.694500	TokensAlign	since	186.014500
608	186.014500	TokensAlign	my	186.184500
609	186.184500	TokensAlign	friend	186.604500
610	186.604500	TokensAlign	left	186.914500
611	186.914500	TokensAlign	with	187.044500
612	187.044500	TokensAlign	his	187.204500
613	187.204500	TokensAlign	sheep	187.618400
614	187.618400	TokensAlign	#	188.496300
615	188.496300	TokensAlign	if	188.651300
